"key","field","dependency","ownership","feature","policy","evidence"
"Depends:R","Depends","R","CORE-PRIVATE","R runtime","required","R/2d_smooth_morse_smale.R;R/analyze_comono_distributions.R;R/annotation.R;R/basin_complex_adapters.R;R/basin_complex_converters.R;R/basin_complex_merge_tree.R;R/basin_complex_plateau_flow.R;R/basin_complex_refinement.R;R/basin_complex.R;R/basin_cx.R;R/basin_lookup_functions.R;R/boxcox_utils.R;+293 files"
"Imports:Rcpp","Imports","Rcpp","CORE-PRIVATE","registered native interface","required","R/globals.R;R/RcppExports.R;src/cpp_mstrees.cpp;src/init.c;src/local_pca_charts_rcpp.cpp;src/local_pca_charts.cpp;src/RcppExports.cpp"
"Imports:stats","Imports","stats","PROTECTED","core statistics and protected construction","required","R/2d_smooth_morse_smale.R;R/analyze_comono_distributions.R;R/compat_helpers.R;R/component_mst_connectivity.R;R/compute_partition_cell_stats.R;R/detect_binary_partition.R;R/extract_stable_clusters.R;R/extremality_utils.R;R/fassoc_test.R;R/fassoc0_test_paired.R;R/fassoc1_test_paired.R;R/gfc_flow.R;+55 files"
"Imports:graphics","Imports","graphics","PROTECTED","core and protected plotting","required","R/basin_complex.R;R/basin_cx.R;R/compute_basins_of_attraction.R;R/fassoc0_test_paired.R;R/fassoc1_test_paired.R;R/fn_graphs.R;R/generate_knn_example_data.R;R/gfc_flow.R;R/gflow-package.R;R/graph_generators.R;R/graphics.R;R/grids.R;+6 files"
"Imports:grDevices","Imports","grDevices","PROTECTED","core and protected graphics devices","required","R/2d_smooth_morse_smale.R;R/fassoc0_test_paired.R;R/fassoc1_test_paired.R;R/gflow_cx.R;R/gflow-package.R;R/graph_generators.R;R/graphics.R;R/hist_utils.R;R/plot_feature_distance_diagnostics.R;R/plot_trajectory_hurdle_association.R;R/plot_utils.R;R/preprocess_metabolon_twoplane.R;+4 files"
"Imports:FNN","Imports","FNN","PROTECTED","nearest-neighbor support for protected construction","required","R/annotation.R;R/grids.R;R/mstree.R;R/potential_metric_graph.R;R/preprocess_metabolon_twoplane.R;R/stats_utils.R;R/synthetic_data_utils.R"
"Imports:parallel","Imports","parallel","CORE-ASSOCIATION","parallel local association","required","R/2d_smooth_morse_smale.R;R/basin_complex.R;R/compute_basins_of_attraction.R;R/extremality_utils.R;R/fassoc0_test_paired.R;R/fassoc1_test_paired.R;R/gfc_flow.R;R/lcor.R;R/lslope.R;R/potential_metric_graph.R;R/trajectory_clustering.R;R/trajectory_distances.R;+14 files"
"Imports:dgraphs","Imports","dgraphs","PROTECTED","graph substrate for construction and analysis","required","R/basin_cx.R;R/cluster_local_extrema.R;R/gfc_flow.R;R/gflow-package.R;R/graph_MS_cx.R;R/graph_utils.R;R/graphics.R;R/lcor.R;src/graph_radius_neighborhood.cpp;src/graph_utils.cpp;tests/manual/01-test-initialization.R;tests/manual/03-test-v4_create_basin_cx.R;+11 files"
"Imports:igraph","Imports","igraph","PROTECTED","protected and core graph visualization","required","R/cluster_comono_graph.R;R/cluster_local_extrema.R;R/compute_gfc.R;R/consensus_clustering.R;R/extremality_utils.R;R/gfc_flow.R;R/gflow_cx.R;R/gflow_graph_plot.R;R/graph_MS_cx.R;R/graphics.R;R/plot_graph_component.R;R/plot_utils.R;+16 files"
"Imports:utils","Imports","utils","PROTECTED","package utilities used by protected and core code","required","R/annotation.R;R/basin_complex_converters.R;R/basin_complex.R;R/basin_cx.R;R/compat_helpers.R;R/fassoc_test.R;R/gfc_flow.R;R/globals.R;R/lcor_with_posterior.R;R/lcor.R;R/plot_utils.R;R/select_phylotypes_for_assoc.R;+75 files"
